config,experiment,exp_num,task,num_classes,best_val_loss,best_val_acc,best_rel_val_loss,epochs_run,arch_style,embedding_type,embedding_size,pooling,optimizer,learning_rate,batch_size,codon_id,nmd_pattern,hl_res_count
test24_4,24_4_fold,24,6-class,6,1.092893362045288,,,5,block_sizes,translated,128,max,adam,0.0001,128,codon_id,legacy,
test24_1,24_1_fold,24,6-class,6,1.1478514671325684,,0.10084763169288635,5,block_sizes,translated,128,max,adam,0.0001,128,codon_id,legacy,
test24_5,24_5_fold,24,6-class,6,1.1428399085998535,,,5,block_sizes,translated,128,max,adam,0.0001,128,codon_id,legacy,
test24_9,24_9_fold,24,6-class,6,1.2119488716125488,,0.1027737483382225,5,block_sizes,translated,128,max,adam,0.0001,128,codon_id,legacy,
test24_8,24_8_fold,24,6-class,6,1.2072843313217163,,0.09513099491596222,5,block_sizes,translated,128,max,adam,0.0001,128,codon_id,legacy,
test25,25_all,25,6-class,6,0.9204427003860474,,0.07627096027135849,5,block_sizes,translated,128,max,adam,0.0001,128,codon_id,legacy,
test26,26_all,26,6-class,6,0.3677099347114563,0.9111817479133606,0.13766354322433472,22,block_sizes,translated,128,max,sgd,0.001,128,codon_id,legacy,
test28,test_28,28,6-class,6,0.3943648636341095,0.8894298672676086,0.25044986605644226,42,block_sizes,nucleotide,192,max,sgd,0.001,128,codon_id,legacy,
test29,test_29,29,6-class,6,1.4855912923812866,0.41972798109054565,,15,block_sizes,translated,64,max,sgd,0.001,128,codon_id,legacy,
test30,test_30,30,6-class,6,0.8301370143890381,0.7426713109016418,,14,block_sizes,translated,64,max,sgd,0.001,128,codon_id,legacy,
test31,test_31,31,6-class,6,0.4881815016269684,0.8594863414764404,,26,block_sizes,translated,64,gatedframe,adam,0.0003,32,codon_id,legacy,
test32,test_32,32,6-class,6,0.4425756335258484,0.8690316081047058,0.1833789050579071,20,block_sizes,translated,64,gatedframe,sgd,0.001,128,codon_id,legacy,
test33,test_33,33,6-class,6,1.5939041376113892,0.5115855932235718,,2,block_sizes,translated,64,gatedframe,sgd,0.01,512,codon_id,legacy,
test34_4,test_34_4,34,6-class,6,0.7440567016601562,0.8617554306983948,0.6931625008583069,53,hidden_layers,translated,64,gatedframe,adam,0.0003,128,codon_id,some,5.0
test34_3,test_34_3,34,6-class,6,0.7612218260765076,0.8534035682678223,0.6931625008583069,35,hidden_layers,translated,64,gatedframe,adam,0.0003,128,codon_id,some,5.0
test34,test_34,34,6-class,6,0.7038947343826294,0.8880049586296082,,53,hidden_layers,translated,64,gatedframe,sgd,0.0003,128,codon_id,some,5.0
test34_1,test_34_1,34,6-class,6,0.7549401521682739,0.8570244312286377,0.6931625008583069,46,hidden_layers,translated,64,gatedframe,adam,0.0003,128,codon_id,some,5.0
test34_2,test_34_2,34,6-class,6,0.7744644284248352,0.8476125001907349,0.6931625008583069,30,hidden_layers,translated,64,gatedframe,adam,0.0003,128,codon_id,some,5.0
test34_5,test_34_5,34,6-class,6,0.7559759020805359,0.8553751111030579,0.6931625008583069,42,hidden_layers,translated,64,gatedframe,adam,0.0003,128,codon_id,some,5.0
test35_5,test_35_5,35,6-class,6,0.7678354382514954,0.8504472970962524,0.3888031244277954,39,hidden_layers,translated,64,gatedframe,adam,0.0003,128,codon_id,last_only,5.0
test35_3,test_35_3,35,6-class,6,0.7523837685585022,0.8564622402191162,0.5551801919937134,62,hidden_layers,translated,64,gatedframe,adam,0.0003,128,codon_id,last_only,5.0
test35_2,test_35_2,35,6-class,6,0.7742405533790588,0.8455415964126587,0.42648646235466003,30,hidden_layers,translated,64,gatedframe,adam,0.0003,128,codon_id,last_only,5.0
test35_1,test_35_1,35,6-class,6,0.7663088440895081,0.8512413501739502,0.45094263553619385,31,hidden_layers,translated,64,gatedframe,adam,0.0003,128,codon_id,last_only,5.0
test35_4,test_35_4,35,6-class,6,0.7632231116294861,0.8516157865524292,0.40915974974632263,31,hidden_layers,translated,64,gatedframe,adam,0.0003,128,codon_id,last_only,5.0
test36,test_36,36,6-class,6,0.38688501715660095,0.9022207856178284,0.504732608795166,17,hidden_layers,translated,192,gatedframe,adam,0.0003,128,codon_id,last_only,5.0
test37,test_37,37,6-class,6,0.3502628207206726,0.9089206457138062,0.6557457447052002,51,hidden_layers,translated,192,gatedframe,adam,0.0003,128,codon_id,last_only,3.0
test38,test_38,38,6-class,6,0.3978848457336426,0.902172863483429,0.3008759319782257,17,hidden_layers,translated,256,gatedframe,adam,0.0003,128,codon_id,last_only,3.0
test39,test_39,39,6-class,6,0.36953216791152954,0.9068478941917419,0.43352025747299194,31,hidden_layers,translated,256,gatedframe,adam,0.0003,128,codon_id,last_only,5.0
test40,test_40,40,6-class,6,0.49435892701148987,0.8673290014266968,0.2863966226577759,29,hidden_layers,translated,192,gatedframe,adam,0.0003,128,codon_id,last_only,3.0
test41_500,test_41_500,41,6-class,6,1.5995056629180908,0.7310442924499512,0.3810019791126251,26,hidden_layers,translated,192,gatedframe,adam,0.0003,128,codon_id,last_only,3.0
test42_1000,test_42_1000,42,6-class,6,1.1746101379394531,0.8054937720298767,0.26314327120780945,68,hidden_layers,translated,192,gatedframe,adam,0.0003,128,codon_id,last_only,3.0
test43_500,test_43_500,43,6-class,6,1.592997670173645,0.7415478229522705,,1,hidden_layers,translated,192,gatedframe,adam,0.0003,128,dicodon_id,last_only,3.0
test44_1000,test_44_1000,44,6-class,6,1.2895293235778809,0.7872257828712463,,1,hidden_layers,translated,192,gatedframe,adam,0.0003,128,dicodon_id,last_only,3.0
test45_500,test_45_500,45,6-class,6,1.354392170906067,0.7850976586341858,0.6932612657546997,66,hidden_layers,translated,192,gatedframe,adam,0.0003,128,dicodon_id,last_only,3.0
test46_1000,test_46_1000,46,6-class,6,1.0682313442230225,0.8402165174484253,0.5376933217048645,40,hidden_layers,translated,192,gatedframe,adam,0.0003,128,dicodon_id,last_only,3.0
test47_500,test_47_500,47,6-class,6,1.2475560903549194,0.7920843958854675,,65,hidden_layers,translated,192,gatedframe,adam,0.0003,128,codon_id,last_only,3.0
test48_1000,test_48_1000,48,6-class,6,0.9619671106338501,0.8457241654396057,0.33022674918174744,56,hidden_layers,translated,192,gatedframe,adam,0.0003,128,codon_id,last_only,3.0
test49_2000,test_49_2000,49,6-class,6,0.9732867479324341,0.8861250281333923,0.3606462776660919,25,hidden_layers,translated,192,gatedframe,adam,0.0003,128,dicodon_id,last_only,3.0
test50_2000,test_50_2000,50,6-class,6,0.5396973490715027,0.8870500922203064,0.6320908665657043,30,hidden_layers,translated,192,gatedframe,adam,0.0003,128,dicodon_id,last_only,3.0
test51,51,51,6-class,6,0.6589527130126953,0.7668219208717346,0.3518690764904022,69,hidden_layers,translated,128,max,sgd,0.0003,128,dicodon_id,last_only,3.0
test52,52,52,6-class,6,0.5626307725906372,0.8136543035507202,0.2649083733558655,43,hidden_layers,translated,192,max,sgd,0.0003,128,dicodon_id,last_only,3.0
test53,53,53,6-class,6,0.9306259751319885,0.6998502612113953,,54,hidden_layers,translated,192,max,sgd,0.0003,128,dicodon_id,last_only,3.0
test54,54,54,6-class,6,0.39406195282936096,0.8828426003456116,0.21016833186149597,36,hidden_layers,translated,192,max,sgd,0.0003,128,dicodon_id,last_only,3.0
test55,55,55,6-class,6,0.4682474136352539,0.8518683314323425,0.27461007237434387,100,hidden_layers,translated,192,max,sgd,0.0003,128,codon_id,last_only,3.0
test56,56,56,6-class,6,0.5827801823616028,0.7996147274971008,,54,hidden_layers,translated,192,max,sgd,0.0003,128,codon_id,last_only,3.0
test57,57,57,6-class,6,0.2535780966281891,0.9330436587333679,0.17764481902122498,100,hidden_layers,translated,192,max,sgd,0.001,512,codon_id,last_only,3.0
test57_binary,57_binary,57,binary,2,0.1405850499868393,0.9662711024284363,0.17764481902122498,12,hidden_layers,translated,192,max,sgd,0.001,512,codon_id,last_only,3.0
test58,58,58,6-class,6,0.6837321519851685,0.7658523321151733,0.38519635796546936,25,hidden_layers,translated,192,max,sgd,0.0003,128,dicodon_id,last_only,3.0
test59,59,59,6-class,6,0.7006615996360779,0.7538747191429138,0.6932483911514282,39,hidden_layers,translated,192,max,sgd,0.0003,128,dicodon_id,last_only,3.0
test60,60,60,6-class,6,0.5436593890190125,0.8439270853996277,0.3204968571662903,24,hidden_layers,translated,192,max,sgd,0.0003,128,dicodon_id,last_only,3.0
test61,61,61,6-class,6,0.5262090563774109,0.824318528175354,0.2651788890361786,47,hidden_layers,translated,192,max,sgd,0.0003,128,codon_id,last_only,3.0
test62,62,62,6-class,6,0.5822128653526306,0.7980962991714478,,94,hidden_layers,translated,192,max,sgd,0.0003,128,codon_id,last_only,3.0
test63,63,63,6-class,6,0.37993985414505005,0.8879214525222778,0.1875225305557251,36,hidden_layers,translated,192,max,sgd,0.0003,128,codon_id,last_only,3.0
test64,64,64,binary,2,0.1974932700395584,0.9421513080596924,0.38594672083854675,23,hidden_layers,translated,192,max,sgd,0.001,512,none,last_only,3.0
test65,65,65,6-class,6,0.4275238811969757,0.8725864291191101,0.24673759937286377,36,hidden_layers,translated,192,max,sgd,0.001,512,none,last_only,3.0
test66,66,66,6-class,6,0.37950432300567627,0.9047999382019043,0.16372635960578918,60,hidden_layers,translated,192,max,sgd,0.0001,64,codon_id,last_only,8.0
test68,68,68,6-class,6,0.39858341217041016,0.906825065612793,0.1498635858297348,44,hidden_layers,translated,192,max,sgd,0.0001,64,none,last_only,8.0
test69,69,69,binary,2,0.27412334084510803,0.9491282105445862,0.17708005011081696,28,hidden_layers,translated,192,max,sgd,0.0001,64,none,last_only,8.0
test70,70,70,6-class,6,0.2574561536312103,0.9194954633712769,0.33139246702194214,96,hidden_layers,translated,192,max,adam,0.0003,64,none,last_only,8.0
test71,71,71,6-class,6,0.23712876439094543,0.9231790900230408,0.634652316570282,82,hidden_layers,translated,192,max,adam,0.0003,64,codon_id,last_only,8.0
test72,72,72,6-class,6,0.5716472864151001,0.8158953189849854,,13,hidden_layers,translated,192,max,adam,0.0003,64,none,last_only,8.0
test73,73,73,6-class,6,0.5933374166488647,0.8039634823799133,,14,hidden_layers,translated,192,max,adam,0.0003,64,codon_id,last_only,8.0
test74,74,74,6-class,6,0.4220404326915741,0.8692682981491089,,31,hidden_layers,translated,192,max,adam,0.0003,64,none,last_only,8.0
test75,75,75,6-class,6,0.4224732518196106,0.8672352433204651,,31,hidden_layers,translated,192,max,adam,0.0003,64,codon_id,last_only,8.0
test76,76,76,6-class,6,0.23704643547534943,0.9330436587333679,0.21317489445209503,103,hidden_layers,translated,192,max,sgd,0.001,512,codon_id,last+some,3.0
test76_with_ood,76,76,6-class,6,0.23704643547534943,0.9330436587333679,0.21317489445209503,103,hidden_layers,translated,192,max,sgd,0.001,512,codon_id,last+some,3.0
test77_with_ood,77,77,6-class,6,0.2574561536312103,0.9194954633712769,0.33139246702194214,100,hidden_layers,translated,192,max,adam,0.0003,64,none,last_only,8.0
test77,77,77,6-class,6,0.2574561536312103,0.9194954633712769,0.33139246702194214,100,hidden_layers,translated,192,max,adam,0.0003,64,none,last_only,8.0
test78_with_ood,78,78,6-class,6,0.23712876439094543,0.9231790900230408,0.6200166940689087,100,hidden_layers,translated,192,max,adam,0.0003,64,codon_id,last_only,8.0
test78,78,78,6-class,6,0.23712876439094543,0.9231790900230408,0.6200166940689087,100,hidden_layers,translated,192,max,adam,0.0003,64,codon_id,last_only,8.0
